ep, reward
0, 888.5
1, 976.75
2, 887.75
3, 888.75
4, 889.0
5, 887.25
6, 978.75
7, 980.25
8, 888.0
9, 889.75
10, 977.0
11, 891.0
12, 974.75
13, 1067.0
14, 888.25
15, 889.0
16, 978.75
17, 977.25
18, 1066.25
19, 977.75
20, 978.0
21, 977.75
22, 887.5
23, 978.25
24, 889.75
25, 889.25
26, 888.0
27, 977.0
28, 976.5
29, 977.75
30, 888.75
31, 978.25
32, 889.5
33, 1065.25
34, 1066.25
35, 887.0
36, 1066.0
37, 887.75
38, 978.0
39, 798.25
40, 978.0
41, 799.75
42, 977.25
43, 976.0
44, 1068.0
45, 889.25
46, 977.75
47, 1066.75
48, 888.25
49, 1067.0
50, 1067.5
51, 889.25
52, 888.5
53, 978.25
54, 978.75
55, 977.0
56, 1068.0
57, 890.0
58, 976.0
59, 977.75
60, 978.25
61, 1064.25
62, 978.0
63, 888.5
64, 888.5
65, 888.75
66, 976.75
67, 976.75
68, 1070.0
69, 977.0
70, 978.0
71, 978.25
72, 799.75
73, 888.5
74, 977.25
75, 976.5
76, 890.25
77, 891.0
78, 887.75
79, 889.5
80, 977.0
81, 977.25
82, 1068.0
83, 889.0
84, 1065.25
85, 977.25
86, 891.25
87, 976.5
88, 976.25
89, 888.5
90, 977.25
91, 978.0
92, 1068.0
93, 887.75
94, 976.75
95, 978.0
96, 889.25
97, 978.75
98, 978.0
99, 1065.25
100, 977.5
101, 889.5
102, 1066.5
103, 889.25
104, 888.75
105, 888.0
106, 888.75
107, 978.0
108, 976.5
109, 888.75
110, 977.0
111, 889.5
112, 891.25
113, 978.0
114, 1065.25
115, 889.75
116, 977.0
117, 890.25
118, 978.0
119, 978.75
120, 978.0
121, 888.0
122, 888.0
123, 978.0
124, 979.0
125, 891.0
126, 977.75
127, 977.0
128, 889.25
129, 977.0
130, 980.0
131, 977.25
132, 1066.5
133, 977.75
134, 888.75
135, 978.0
136, 978.0
137, 978.0
138, 888.5
139, 890.25
140, 889.25
141, 977.75
142, 1067.0
143, 978.0
144, 977.0
145, 802.0
146, 888.25
147, 888.75
148, 890.25
149, 978.75
150, 888.5
151, 978.0
152, 1067.0
153, 888.0
154, 975.5
155, 978.75
156, 889.25
157, 890.25
158, 1067.5
159, 1066.0
160, 979.0
161, 977.75
162, 978.0
163, 978.0
164, 1068.0
165, 978.0
166, 978.0
167, 978.0
168, 890.25
169, 978.0
170, 889.25
171, 889.0
172, 977.5
173, 977.25
174, 977.25
175, 979.0
176, 978.0
177, 978.0
178, 977.25
179, 978.0
180, 978.0
181, 978.0
182, 978.0
183, 978.0
184, 889.5
185, 978.0
186, 800.0
187, 889.25
188, 978.0
189, 978.0
190, 977.75
191, 978.0
192, 978.75
193, 888.0
194, 888.75
195, 1068.0
196, 890.25
197, 889.0
198, 801.5
199, 889.0
200, 889.25
201, 889.25
202, 888.0
203, 978.0
204, 890.25
205, 979.0
206, 888.5
207, 889.25
208, 890.25
209, 977.25
210, 889.5
211, 977.25
212, 978.0
213, 978.0
214, 978.0
215, 978.0
216, 978.0
217, 978.0
218, 978.0
219, 976.75
220, 978.0
221, 890.25
222, 888.75
223, 976.5
224, 978.0
225, 977.5
226, 978.0
227, 978.0
228, 978.0
229, 978.0
230, 888.0
231, 978.75
232, 978.0
233, 889.0
234, 978.0
235, 888.5
236, 978.0
237, 889.0
238, 978.5
239, 888.0
240, 888.0
241, 889.0
242, 978.0
243, 978.0
244, 978.75
245, 978.0
246, 978.0
247, 888.0
248, 976.75
249, 978.0
250, 978.0
251, 889.0
252, 978.0
253, 978.0
254, 978.0
255, 978.0
256, 978.0
257, 978.0
258, 979.0
259, 977.5
260, 978.0
261, 978.0
262, 978.0
263, 889.25
264, 978.0
265, 978.0
266, 978.0
267, 1067.0
268, 978.0
269, 978.0
270, 978.0
271, 978.0
272, 978.0
273, 978.0
274, 978.0
275, 977.0
276, 978.0
277, 978.0
278, 889.25
279, 978.0
280, 1068.0
281, 978.0
282, 977.5
283, 889.25
284, 889.25
285, 978.0
286, 889.25
287, 889.0
288, 976.75
289, 978.0
290, 1067.0
291, 889.5
292, 978.0
293, 978.0
294, 978.0
295, 978.0
296, 978.0
297, 978.0
298, 888.75
299, 978.0
300, 977.0
301, 978.0
302, 889.0
303, 890.25
304, 978.0
305, 978.0
306, 977.0
307, 976.5
308, 889.25
309, 978.0
310, 978.0
311, 978.0
312, 978.0
313, 978.0
314, 978.0
315, 978.0
316, 888.0
317, 889.25
318, 978.0
319, 978.0
320, 978.0
321, 978.0
322, 978.0
323, 890.75
324, 890.25
325, 978.0
326, 978.0
327, 978.0
328, 978.0
329, 978.0
330, 978.0
331, 978.0
332, 978.0
333, 978.0
334, 978.0
335, 978.0
336, 978.0
337, 978.0
338, 978.0
339, 978.0
340, 978.0
341, 978.0
342, 978.0
343, 978.0
344, 978.0
345, 978.0
346, 978.0
347, 978.0
348, 978.0
349, 978.0
350, 978.0
351, 978.0
352, 978.0
353, 978.0
354, 978.0
355, 978.0
356, 978.0
357, 978.0
358, 978.0
359, 978.0
360, 978.0
361, 978.0
362, 890.25
363, 978.0
364, 978.0
365, 978.0
366, 978.0
367, 889.25
368, 978.0
369, 978.0
370, 978.0
371, 978.0
372, 978.0
373, 978.0
374, 978.0
375, 978.0
376, 889.5
377, 978.0
378, 889.25
379, 978.0
380, 978.0
381, 978.0
382, 978.0
383, 978.0
384, 978.0
385, 978.0
386, 978.0
387, 978.0
388, 978.0
389, 978.75
390, 888.75
391, 978.0
392, 978.0
393, 891.0
394, 978.0
395, 978.0
396, 978.0
397, 976.5
398, 978.0
399, 978.0
400, 977.5
401, 978.0
402, 978.0
403, 978.0
404, 889.25
405, 978.0
406, 978.0
407, 978.0
408, 978.0
409, 978.0
410, 978.0
411, 978.0
412, 978.0
413, 978.0
414, 978.0
415, 977.0
416, 978.0
417, 978.0
418, 978.0
419, 977.0
420, 978.0
421, 978.0
422, 978.0
423, 978.0
424, 977.25
425, 978.0
426, 978.0
427, 978.0
428, 978.0
429, 978.0
430, 978.0
431, 978.0
432, 978.0
433, 978.0
434, 978.0
435, 978.0
436, 978.0
437, 978.0
438, 978.0
439, 978.0
440, 978.0
441, 978.0
442, 890.25
443, 978.0
444, 977.0
445, 978.0
446, 978.0
447, 978.0
448, 978.0
449, 978.0
450, 978.0
451, 889.0
452, 978.0
453, 978.0
454, 978.0
455, 978.0
456, 978.0
457, 978.0
458, 978.0
459, 978.0
460, 978.0
461, 978.0
462, 978.0
463, 977.25
464, 978.0
465, 978.0
466, 978.0
467, 978.0
468, 978.0
469, 978.0
470, 978.0
471, 978.0
472, 978.0
473, 978.0
474, 978.0
475, 978.0
476, 978.0
477, 978.0
478, 978.0
479, 978.0
480, 978.0
481, 978.0
482, 978.0
483, 978.0
484, 978.0
485, 978.0
486, 978.0
487, 978.0
488, 978.0
489, 978.0
490, 978.0
491, 978.0
492, 978.0
493, 978.0
494, 977.25
495, 978.0
496, 978.0
497, 978.0
498, 978.0
499, 978.0
