setname,solvername,problemname,status,solutionstatus,objvalue,k1,k3,runtime
C13_ATL_10,QL_ILP,graphmapping_444a53c9,1,1,6,5,1,0.748415729
C1_POL_10,ILP_GUROBI,graphmapping_e32c5b9b,1,1,4,4,0,134.3054373
C13_ATL_10,GREEDY,graphmapping_444a53c9,1,1,4,3,1,0.282905379
C3_POL_10,ILP_GUROBI,graphmapping_f178d523,1,1,5,5,0,3.859521627
C13_PIO_20,QL_CLC,graphmapping_bcc37619,1,1,11,7,4,0.071089209
C1_PIO_20,ILP_GUROBI,graphmapping_f5ad2aac,1,1,16,17,0,5.779560089
C13_COS_20,QL_CLC,graphmapping_a552b1b0,1,1,9,6,3,0.053761154
C1_POL_10,GREEDY,graphmapping_766c6392,1,1,3,3,0,0.326531893
C3_ABI_10,ILP_GUROBI,graphmapping_e093fe30,1,1,4,4,0,5.328754663
C13_COS_20,ILP_GUROBI,graphmapping_566796e3,1,1,16,8,8,122515.6053
C3_COS_20,GREEDY,graphmapping_a78d92bc,1,1,4,4,0,0.376123212
C13_POL_10,ILP_GUROBI,graphmapping_5a04f3c8,1,1,5,1,4,19.04106212
C1_ATL_10,GREEDY,graphmapping_d190cb65,1,1,3,3,0,0.575306678
C1_ATL_10,ILP_GUROBI,graphmapping_90d666bc,1,1,5,7,0,0.249853849
C13_ATL_10,QL_CLC,graphmapping_444a53c9,1,1,4,3,1,0.017659622
C13_POL_10,QL_ILP,graphmapping_eaa94ddd,1,1,4,2,2,0.452653459
C13_ABI_10,QL_CLC,graphmapping_4682be01,1,1,3,2,1,0.005700252
C1_ABI_10,ILP_GUROBI,graphmapping_360a251e,1,1,4,4,0,134.2523801
C13_ATL_10,ILP_GUROBI,graphmapping_417567ba,1,1,7,1,6,731.996408
C1_ABI_10,GREEDY,graphmapping_9f68d01d,1,1,3,3,0,0.557887682
C13_PIO_20,ILP_GUROBI,graphmapping_5f05bfbe,1,1,20,0,20,412.8893194
C13_COS_20,GREEDY,graphmapping_a552b1b0,1,1,10,10,0,0.394831264
C13_POL_10,GREEDY,graphmapping_eaa94ddd,1,1,3,3,0,0.310807721
C1_COS_20,GREEDY,graphmapping_decc1ec5,1,1,10,10,0,0.379311184
C13_PIO_20,GREEDY,graphmapping_bcc37619,1,1,11,10,1,0.367487287
C13_ABI_10,GREEDY,graphmapping_4682be01,1,1,3,3,0,0.267698956
C3_PIO_20,GREEDY,graphmapping_e086f986,1,1,9,9,0,0.368611582
C3_ABI_10,GREEDY,graphmapping_77d57223,1,1,2,2,0,0.302307072
C13_COS_20,QL_ILP,graphmapping_a552b1b0,1,1,13,7,6,7.137584574
C13_ABI_10,ILP_GUROBI,graphmapping_5bc7a694,1,1,5,3,2,57.1717279
C3_POL_10,GREEDY,graphmapping_6efa3636,1,1,2,2,0,0.322524092
C3_ATL_10,ILP_GUROBI,graphmapping_d97a4de9,1,1,7,7,0,9.801641226
C1_COS_20,ILP_GUROBI,graphmapping_6a239f3b,1,1,14,14,0,17.69004107
C13_POL_10,QL_CLC,graphmapping_eaa94ddd,1,1,3,1,2,0.011649994
C1_PIO_20,GREEDY,graphmapping_bcfcdaf9,1,1,10,10,0,0.332121523
C13_ABI_10,QL_ILP,graphmapping_4682be01,1,1,4,2,2,0.477189933
C3_PIO_20,ILP_GUROBI,graphmapping_e3e1a0fd,1,1,20,20,0,22399.77397
C13_PIO_20,QL_ILP,graphmapping_bcc37619,1,1,13,9,4,11.23067927
C3_ATL_10,GREEDY,graphmapping_fa8f5315,1,1,4,4,0,0.288898345
C3_COS_20,ILP_GUROBI,graphmapping_e3e1a0fd,1,1,16,16,0,94266.15783
