setname,solvername,n_instances,obj_mean,obj_std,rt_mean,rt_std
C135_ABI_10,GREEDY,10,3.10,0.30,0.17589,0.17132
C135_ABI_10,GREEDY_RR,10,1.70,0.64,0.01135,0.00771
C135_ABI_10,GREEDY_RS,10,1.20,0.40,0.00707,0.00216
C135_ABI_10,ILP_GUROBI,10,4.50,0.50,26.43221,23.10182
C135_ABI_10,QL_PER_PHY,10,3.50,0.50,0.15795,0.02353
C135_ABI_10,QL_CLC_MULTI,10,2.60,0.49,0.00291,0.00053
C135_COS_30,GREEDY,10,9.30,0.90,0.41356,0.25229
C135_COS_30,GREEDY_RR,10,1.40,0.49,0.07364,0.02702
C135_COS_30,GREEDY_RS,10,2.70,0.78,0.04675,0.01307
C135_COS_30,QL_PER_PHY,10,11.70,0.78,3.18313,0.22199
C135_COS_30,QL_CLC_MULTI,10,6.30,1.35,0.01428,0.00270
