ep, reward
0, 3.9981
1, 3.998
2, 3.9979000000000005
3, 3.9974000000000003
4, 3.998
5, 3.998
6, 2.9985
7, 3.9982000000000006
8, 3.9979
9, 3.9981000000000004
10, 3.9979000000000005
11, 3.9981000000000004
12, 3.998
13, 3.9982000000000006
14, 3.9974000000000003
15, 3.9982
16, 3.9981000000000004
17, 3.9974000000000003
18, 3.9982000000000006
19, 3.998
20, 3.9981
21, 3.9982000000000006
22, 3.9974000000000003
23, 3.9982
24, 3.9979
25, 3.9974000000000003
26, 3.9982
27, 3.9982
28, 3.9974000000000003
29, 3.9982
30, 3.9982
31, 3.9982000000000006
32, 3.9982
33, 3.9982
34, 3.9974000000000003
35, 3.9982
36, 3.9982
37, 3.9982000000000006
38, 3.9981000000000004
39, 3.9981
40, 3.9982000000000006
41, 3.9981
42, 3.9982
43, 3.9982
44, 3.9981000000000004
45, 3.9981
46, 3.9982
47, 3.9982000000000006
48, 3.9974000000000003
49, 3.9974000000000003
50, 3.9982
51, 3.9981000000000004
52, 3.9982000000000006
53, 3.9982
54, 3.9982
55, 3.9982
56, 3.9974000000000003
57, 3.9982000000000006
58, 3.9974000000000003
59, 3.9982
60, 3.9982
61, 3.9982
62, 3.9974000000000003
63, 3.9982
64, 3.9982
65, 3.9982
66, 3.9982
67, 3.998
68, 3.9982
69, 3.9982
70, 3.9982
71, 3.9982
72, 3.9982
73, 3.9981000000000004
74, 3.9982
75, 3.9982
76, 3.9982
77, 3.9982
78, 3.9982
79, 3.9982
80, 3.9982
81, 3.9982
82, 3.9982
83, 3.9982
84, 3.9982
85, 3.9982
86, 3.9982
87, 3.9981
88, 3.9982
89, 3.9982
90, 3.9982
91, 3.9982
92, 3.9982
93, 3.9982
94, 3.9982
95, 3.9982
96, 3.9982000000000006
97, 3.9982
98, 3.9982
99, 3.9982
100, 3.9982
101, 3.9982
102, 3.9982
103, 3.9982
104, 3.9982
105, 3.9982000000000006
106, 3.9982
107, 3.9982
108, 3.9982
109, 3.9982
110, 3.9982
111, 3.9981
112, 3.9982
113, 3.9982
114, 3.9982
115, 3.9982
116, 3.9982
117, 3.9982
118, 3.9982
119, 3.9982
120, 3.9982
121, 3.9982
122, 3.9982
123, 3.9982
124, 3.9982
125, 3.9982
126, 3.9982
127, 3.9982
128, 3.9982000000000006
129, 3.9982
130, 3.9982
131, 3.9982
132, 3.9982
133, 3.9982
134, 3.9982
135, 3.9982
136, 3.9982
137, 3.9982
138, 3.9982
139, 3.9982
140, 3.9982
141, 3.9982
142, 3.9982
143, 3.9982
144, 3.9982
145, 3.9981
146, 3.9982
147, 3.9982
148, 3.9982
149, 3.9982
150, 3.9982
151, 3.9982
152, 3.9982
153, 3.9982
154, 3.9982
155, 3.9982
156, 3.9982
157, 3.9982
158, 3.9982
159, 3.9982
160, 3.9982
161, 3.9982
162, 3.9982
163, 3.9982
164, 3.9982
165, 3.9982
166, 3.9982
167, 3.9982
168, 3.9982
169, 3.9982
170, 3.9982
171, 3.9982000000000006
172, 3.9982
173, 3.9982
174, 3.9982
175, 3.9982
176, 3.9982
177, 3.9982
178, 3.9982
179, 3.9982
180, 3.9982
181, 3.9982
182, 3.9982
183, 3.9982
184, 3.9982
185, 3.9982
186, 3.9982
187, 3.9982
188, 3.9982
189, 3.9982
190, 3.9982
191, 3.9982
192, 3.9982
193, 3.9982
194, 3.9982
195, 3.9974000000000003
196, 3.9982
197, 3.9974000000000003
198, 3.9982
199, 3.9982
